City,Temperature,Humidity,Clouds,Winds,Country,Date,Latitude,Longitude
Lebu,56.17,87,83,11.97,CL,1666733560,-37.6167,-73.65
Santa Isabel Rio Negro,82.33,74,100,2.64,BR,1666733399,-0.4139,-65.0192
Ambanja,74.16,86,72,1.48,MG,1666733764,-13.6833,48.45
Sawang Daen Din,74.17,99,83,5.21,TH,1666733765,17.4753,103.4575
Carnarvon,63.23,68,0,22.73,AU,1666733691,-24.8667,113.6333
Bathsheba,83.01,83,75,21.85,BB,1666733576,13.2167,-59.5167
Balabac,79.95,83,87,7.27,PH,1666733766,7.9868,117.0645
Saint-François,56.64,88,97,2.3,FR,1666733373,46.4154,3.9054
Buraidah,75.65,15,1,9.15,SA,1666733344,26.326,43.975
Pevek,-0.27,93,10,5.41,RU,1666733693,69.7008,170.3133
São Filipe,78.48,78,79,7.94,CV,1666733345,14.8961,-24.4956
Tura,64.67,96,51,2.57,IN,1666733563,25.5198,90.2201
Jasper,55.31,58,0,14.97,US,1666733527,37.2001,-94.3502
Dunedin,56.8,65,100,1.01,NZ,1666733768,-45.8742,170.5036
Mpongwe,71.49,52,93,3.87,ZM,1666733769,-13.5091,28.155
Chenghai,60.71,88,0,2.24,CN,1666733769,23.4632,116.768
Torbay,53.49,84,20,4.61,CA,1666733411,47.6666,-52.7314
Shizunai-furukawachō,45.21,68,36,6.31,JP,1666733770,42.3339,142.3669
Road Town,86.04,79,20,6.91,VG,1666733771,18.4167,-64.6167
Thompson,26.76,93,100,11.5,CA,1666733533,55.7435,-97.8558
Natchitoches,71.58,40,40,10.36,US,1666733771,31.7668,-93.1335
Waingapu,80.06,81,89,1.59,ID,1666733426,-9.6567,120.2641
Antofagasta,61.88,75,7,9.64,CL,1666733772,-23.65,-70.4
Biak,77.68,81,99,2.42,ID,1666733773,-0.9131,122.8766
Swan Hill,59.95,87,82,11.7,AU,1666733534,-35.3378,143.5544
Ponta do Sol,70.02,87,44,6.02,PT,1666733620,32.6667,-17.1
Savalou,76.84,90,99,3.62,BJ,1666733774,7.9281,1.9756
Aklavik,14.0,85,100,2.3,CA,1666733717,68.2191,-135.0107
Kahului,85.86,64,20,23.02,US,1666733692,20.8947,-156.47
Hithadhoo,82.18,72,44,12.26,MV,1666733681,-0.6,73.0833
Puerto Madryn,61.9,46,98,15.61,AR,1666733775,-42.7692,-65.0385
Freeport,66.49,88,100,10.36,US,1666733775,40.6576,-73.5832
Hilo,83.03,65,0,5.01,US,1666733307,19.7297,-155.09
Havøysund,34.03,63,100,5.35,NO,1666733776,70.9963,24.6622
Khatanga,3.42,98,88,6.31,RU,1666733582,71.9667,102.5
Aksu,49.64,33,42,3.53,CN,1666733356,41.1231,80.2644
Peniche,65.19,91,0,16.6,PT,1666733777,39.3558,-9.3811
Hobart,55.38,97,75,18.41,AU,1666733405,-42.8794,147.3294
Itarema,78.71,78,88,15.1,BR,1666733577,-2.9248,-39.9167
Nome,28.47,74,20,28.77,US,1666733549,64.5011,-165.4064
Chokurdakh,7.07,96,100,2.64,RU,1666733546,70.6333,147.9167
Port Hardy,46.58,93,75,3.44,CA,1666733640,50.6996,-127.4199
Pachino,72.43,58,65,3.85,IT,1666733779,36.7186,15.0907
Loandjili,77.77,88,44,3.09,CG,1666733562,-4.7561,11.8578
Businga,70.97,94,96,0.54,CD,1666733780,3.3333,20.8833
Upernavik,23.2,93,100,10.67,GL,1666733563,72.7868,-56.1549
Port Blair,79.29,83,75,5.99,IN,1666733654,11.6667,92.75
Lüderitz,63.97,61,100,15.01,NA,1666733603,-26.6481,15.1594
Klaksvík,49.12,92,100,11.83,FO,1666733679,62.2266,-6.589
Nara,48.07,66,0,1.83,JP,1666733676,34.6851,135.8049
Kulhudhuffushi,80.04,80,82,4.92,MV,1666733782,6.6221,73.07
Kamenka,34.93,66,29,4.97,RU,1666733482,51.3223,42.7678
Bubaque,84.79,74,25,8.68,GW,1666733694,11.2833,-15.8333
Taoudenni,82.58,12,82,10.69,ML,1666733494,22.6783,-3.9836
Kondinskoye,28.36,91,11,5.23,RU,1666733783,59.6481,67.41
Leningradskiy,1.8,89,69,5.1,RU,1666733397,69.3833,178.4167
Hermanus,59.81,77,100,12.44,ZA,1666733524,-34.4187,19.2345
Faya,59.52,72,22,3.98,SA,1666733565,18.3851,42.4509
Krasnaya Zarya,38.39,85,99,8.05,RU,1666733785,52.7825,37.6806
Bariloche,60.01,44,40,18.41,AR,1666733491,-41.1456,-71.3082
Shelburne,63.25,59,99,11.05,CA,1666733785,44.0787,-80.2041
Puerto Pailas,94.12,43,34,8.21,BO,1666733786,-17.667,-62.7909
Dingle,75.97,93,100,5.75,PH,1666733612,10.9995,122.6711
Albany,67.95,87,96,1.01,US,1666733565,42.6001,-73.9662
Amherst Center,65.82,84,100,3.42,US,1666733787,42.3754,-72.5192
Kailua,82.89,75,4,5.99,US,1666733299,21.4022,-157.7394
Alindao,70.97,94,97,2.3,CF,1666733787,5.0267,21.2088
Ponta Delgada,65.12,68,20,10.36,PT,1666733579,37.7333,-25.6667
Seredka,46.15,99,100,5.55,RU,1666733788,58.1584,28.1858
Severo-Kuril'sk,39.07,65,3,5.97,RU,1666733570,50.6789,156.125
Umm Kaddadah,78.48,21,5,15.68,SD,1666733788,13.6017,26.6876
Cidreira,66.16,79,0,19.08,BR,1666733610,-30.1811,-50.2056
Castro,63.12,84,0,4.74,BR,1666733535,-24.7911,-50.0119
Prince Albert,37.35,70,75,5.75,CA,1666733789,53.2001,-105.7677
Wanning,75.99,90,94,11.5,CN,1666733789,18.8003,110.3967
Bredasdorp,60.78,74,100,7.63,ZA,1666733541,-34.5322,20.0403
Adrar,81.0,15,95,8.84,MR,1666733790,20.5022,-10.0711
Bengkulu,73.99,93,100,5.21,ID,1666733559,-3.8004,102.2655
Tianpeng,57.67,88,100,1.81,CN,1666733791,30.9866,103.9393
Bethel,67.01,86,55,1.01,US,1666733567,41.3712,-73.414
Ciudad Bolivar,86.25,63,100,5.5,VE,1666733579,8.1222,-63.5497
Krasnosel'kup,31.98,98,100,14.63,RU,1666733540,65.7,82.4667
Saint-Philippe,69.39,78,39,14.05,RE,1666733533,-21.3585,55.7679
Caravelas,71.87,92,29,5.3,BR,1666733715,-17.7125,-39.2481
Yerraguntla,70.3,66,1,2.71,IN,1666733792,14.6372,78.5395
Laas,51.42,91,82,2.24,IT,1666733588,46.6166,10.7002
Tuatapere,52.32,78,100,2.33,NZ,1666733432,-46.1333,167.6833
Bilibino,-14.15,99,14,3.4,RU,1666733793,68.0546,166.4372
Coquimbo,60.53,63,75,10.36,CL,1666733532,-29.9533,-71.3436
Maragogi,77.58,79,45,11.36,BR,1666733793,-9.0122,-35.2225
Cabedelo,79.47,73,89,12.19,BR,1666733560,-6.9811,-34.8339
Mbandaka,70.45,97,98,0.81,CD,1666733794,0.0487,18.2603
Muros,66.36,81,27,18.9,ES,1666733300,42.7762,-9.0603
Lakselv,26.42,86,100,8.05,NO,1666733794,70.0513,24.9718
Wau,73.36,80,8,1.83,SS,1666733499,7.7029,27.9953
Byron Bay,74.95,68,21,6.04,AU,1666733391,-28.65,153.6167
Mulegé,78.1,41,11,13.53,MX,1666733795,26.8833,-111.9833
Nanortalik,33.67,76,1,4.79,GL,1666733415,60.1432,-45.2371
Sioux Lookout,37.47,65,100,13.8,CA,1666733704,50.1001,-91.917
Gurupi,77.63,64,88,7.16,BR,1666733608,-11.7292,-49.0686
Tunceli,52.9,45,0,3.98,TR,1666733797,39.1083,39.5471
Dikson,22.84,85,99,1.88,RU,1666733681,73.5069,80.5464
Baghdad,67.91,40,0,4.61,IQ,1666733427,33.3406,44.4009
Bo Rai,79.74,92,90,3.85,TH,1666733798,12.5728,102.5371
Mala,64.8,78,22,8.01,PE,1666733799,-12.6581,-76.6308
Kachīry,34.05,34,100,7.76,KZ,1666733799,53.0675,76.1036
Dhenkānāl,68.95,79,52,2.21,IN,1666733752,20.6667,85.6
Dabakala,79.25,72,97,2.98,CI,1666733799,8.3667,-4.4333
Port-Cartier,47.84,86,100,2.71,CA,1666733364,50.0334,-66.8654
Shahr-e Bābak,60.64,19,14,3.29,IR,1666733800,30.1165,55.1186
Batemans Bay,63.1,60,5,3.6,AU,1666733582,-35.7167,150.1833
Muravlenko,24.42,94,98,22.46,RU,1666733801,63.7898,74.523
Cayenne,82.44,78,100,6.91,GF,1666733801,4.9333,-52.3333
Gemeente Wageningen,51.21,92,100,3.44,NL,1666733768,51.9667,5.6667
Kavieng,83.77,74,100,6.08,PG,1666733693,-2.5744,150.7967
Manaus,81.09,89,75,4.61,BR,1666733709,-3.1019,-60.025
Basoko,71.76,96,100,3.29,CD,1666733802,1.2391,23.616
Saint Paul Harbor,44.11,81,75,3.44,US,1666733571,57.79,-152.4072
Porosozero,29.07,90,98,5.59,RU,1666733803,62.7191,32.727
Olafsvik,41.94,81,100,20.49,IS,1666733375,64.8945,-23.7142
Codrington,57.87,96,99,10.38,AU,1666733803,-38.2667,141.9667
Naze,70.72,62,99,17.85,JP,1666733804,28.3667,129.4833
Olinda,80.33,65,40,8.05,BR,1666733341,-8.0089,-34.8553
Kimbe,81.95,78,91,2.39,PG,1666733804,-5.5502,150.1429
Kiryat Gat,76.64,39,0,6.31,IL,1666733465,31.61,34.7642
Machilipatnam,72.97,80,6,6.62,IN,1666733805,16.1667,81.1333
Tabou,77.04,91,50,7.14,CI,1666733422,4.423,-7.3528
Pallasovka,35.96,75,1,5.86,RU,1666733806,50.05,46.8833
Nzérékoré,73.29,81,67,2.01,GN,1666733806,7.7562,-8.8179
Barra de Tecoanapa,84.24,74,71,10.0,MX,1666733633,16.5167,-98.75
Conde,78.26,78,20,6.91,BR,1666733675,-7.2597,-34.9075
Kaitangata,55.49,57,100,5.03,NZ,1666733688,-46.2817,169.8464
San Patricio,76.98,20,0,8.97,US,1666733568,28.017,-97.5169
Oranjemund,57.38,89,99,9.78,NA,1666733712,-28.55,16.4333
Phonhong,73.4,86,90,2.8,LA,1666733807,18.5007,102.4166
Atambua,76.51,83,100,1.39,ID,1666733808,-9.1061,124.8925
Maïné Soroa,80.74,22,42,9.33,NE,1666733808,13.2114,12.0241
Lochem,49.98,94,89,6.82,NL,1666733809,52.1592,6.4111
Mar del Plata,66.29,86,0,14.0,AR,1666733575,-38.0023,-57.5575
Iquique,64.44,74,6,8.34,CL,1666733809,-20.2208,-70.1431
Slave Lake,33.78,86,100,18.41,CA,1666733745,55.2834,-114.769
Monrovia,78.44,87,42,6.31,LR,1666733810,6.3005,-10.7969
Iqaluit,22.69,85,100,21.85,CA,1666733412,63.7506,-68.5145
Mogadishu,78.19,86,82,13.47,SO,1666733810,2.0371,45.3438
Santa Cruz de la Sierra,93.25,43,20,13.8,BO,1666733606,-17.8,-63.1667
Ilulissat,26.62,93,75,2.3,GL,1666733686,69.2167,-51.1
Palmer,66.42,80,75,6.91,US,1666733690,42.1584,-72.3287
Mercedes,79.88,42,95,14.92,AR,1666733464,-34.6515,-59.4307
Garden City,70.84,54,100,10.36,US,1666733346,42.3256,-83.331
Thinadhoo,82.72,74,83,13.42,MV,1666733811,0.5333,72.9333
Lompoc,69.17,64,0,18.41,US,1666733562,34.6391,-120.4579
Hitachi,52.57,71,97,18.25,JP,1666733812,36.6,140.65
Faanui,79.59,77,99,24.38,PF,1666733569,-16.4833,-151.75
Mount Gambier,57.11,100,100,6.91,AU,1666733813,-37.8333,140.7667
Pacific Grove,60.75,72,0,5.75,US,1666733813,36.6177,-121.9166
Kirkwood,47.34,94,100,14.97,US,1666733813,38.5834,-90.4068
Manaure,79.7,83,100,14.2,CO,1666733814,11.7751,-72.4445
Souillac,71.98,78,40,9.22,MU,1666733701,-20.5167,57.5167
Chimbote,64.81,75,47,9.86,PE,1666733707,-9.0853,-78.5783
Orange Walk District,84.67,72,100,5.75,BZ,1666733814,17.8333,-88.8333
Carbondale,66.42,76,75,19.57,US,1666733815,37.7273,-89.2168
Amilly,58.96,63,100,10.47,FR,1666733815,47.9728,2.7719
Buala,84.02,71,57,3.76,SB,1666733728,-8.145,159.5921
La Palma,76.46,35,20,9.22,US,1666733816,33.8464,-118.0467
Kyzyl,21.94,45,0,2.19,RU,1666733816,51.7,94.45
Oktyabr'skiy,30.45,90,95,7.09,RU,1666733468,54.4815,53.471
Brigantine,64.42,97,100,5.75,US,1666733373,39.4101,-74.3646
Asău,54.52,90,96,2.37,RO,1666733725,46.4333,26.4
Mrakovo,29.7,82,33,8.93,RU,1666733817,52.7161,56.6244
Krutinka,33.8,98,100,6.93,RU,1666733818,56.0055,71.5113
Broken Hill,64.06,59,93,3.51,AU,1666733818,-31.95,141.4333
Qasigiannguit,26.85,97,100,8.79,GL,1666733484,68.8193,-51.1922
Fundong,58.87,88,94,4.54,CM,1666733819,6.25,10.2667
Jingdezhen,63.03,50,100,3.76,CN,1666733819,29.2947,117.2079
Kloulklubed,75.7,78,100,21.41,PW,1666733820,7.0419,134.2556
Sobolevo,44.76,90,100,8.48,RU,1666733820,54.4299,31.8996
Ayagoz,33.78,63,54,4.63,KZ,1666733820,47.9714,80.4392
Kokopo,83.37,68,51,4.29,PG,1666733821,-4.352,152.2633
Umluj,78.39,62,0,6.2,SA,1666733639,25.0213,37.2685
Portobelo,80.67,83,96,4.32,PA,1666733822,9.55,-79.65
Srednekolymsk,10.35,95,100,10.42,RU,1666733534,67.45,153.6833
Griffith,57.87,96,100,4.61,US,1666733614,41.5284,-87.4237
Sechura,73.11,58,82,18.12,PE,1666733445,-5.5569,-80.8222
Kattivākkam,77.09,63,0,4.34,IN,1666733823,13.2167,80.3167
Stykkisholmur,39.2,79,100,11.16,IS,1666733824,65.0757,-22.7297
Strezhevoy,32.95,75,100,14.34,RU,1666733825,60.7333,77.5889
Wolgast,49.91,92,1,10.25,DE,1666733825,54.05,13.7667
Corcoran,75.27,16,50,5.26,US,1666733826,36.098,-119.5604
Kampong Thom,74.86,95,98,5.21,KH,1666733496,12.7111,104.8887
Praia,79.34,78,20,11.5,CV,1666733697,14.9215,-23.5087
Penzance,59.68,94,98,26.13,GB,1666733827,50.1186,-5.5371
Verkhoyansk,11.86,84,100,3.87,RU,1666733828,67.5447,133.385
Serowe,82.29,28,93,5.68,BW,1666733828,-22.3833,26.7167
Sakakah,74.77,32,65,9.75,SA,1666733829,29.9697,40.2064
Sirawai,78.46,88,95,2.48,PH,1666733830,7.5854,122.1407
Igarka,26.04,97,100,3.13,RU,1666733587,67.4667,86.5833
Formosa do Rio Preto,72.27,83,100,0.78,BR,1666733830,-11.0483,-45.1931
George Town,76.62,96,20,2.3,MY,1666733522,5.4112,100.3354
Beringovskiy,20.97,78,97,10.94,RU,1666733831,63.05,179.3167
Hamilton,74.52,51,75,17.27,US,1666733502,39.1834,-84.5333
Grand Gaube,72.37,71,19,3.0,MU,1666733347,-20.0064,57.6608
Ngawi,75.96,86,97,5.55,ID,1666733833,-7.4038,111.4461
Soloneshnoye,30.76,42,9,4.79,RU,1666733833,51.6544,84.3197
Kapuskasing,64.4,59,100,11.5,CA,1666733784,49.4169,-82.4331
Ericeira,65.66,91,5,14.88,PT,1666733834,38.9627,-9.4156
Coahuayana Viejo,83.52,76,81,5.35,MX,1666733835,18.7333,-103.6833
Yangi Marg`ilon,56.12,76,40,9.22,UZ,1666733346,40.4272,71.7189
Opochka,49.87,98,99,5.95,RU,1666733835,56.7105,28.6617
Brae,51.71,88,100,8.99,GB,1666733836,60.3964,-1.353
Lagoa,63.05,67,19,23.38,PT,1666733687,39.05,-27.9833
Kumul,49.32,41,100,1.7,CN,1666733837,42.8,93.45
Qandala,77.81,75,64,1.41,SO,1666733837,11.472,49.8728
Dwārka,79.45,62,0,9.73,IN,1666733838,22.2394,68.9678
Vaasa,37.31,93,100,6.91,FI,1666733838,63.096,21.6158
Wakiso,63.03,78,81,3.09,UG,1666733839,0.4044,32.4594
Kendari,75.76,94,80,3.04,ID,1666733583,-3.945,122.4989
Maneromango,65.93,98,31,1.41,TZ,1666733840,-7.1988,38.7848
Mapimí,75.43,26,1,6.82,MX,1666733840,25.8167,-103.85
Moranbah,82.08,45,36,3.56,AU,1666733412,-22.0016,148.0466
Malatya Province,37.45,65,0,6.91,TR,1666733594,38.5,38.0
Geraldton,48.61,87,0,5.75,AU,1666733359,-28.7667,114.6
Taksimo,18.19,74,76,3.31,RU,1666733693,56.3444,114.8794
Saskylakh,-6.14,100,70,3.96,RU,1666733529,71.9167,114.0833
Hong Kong,72.95,72,99,11.01,HK,1666733569,22.2855,114.1577
Vardø,30.18,80,100,9.22,NO,1666733732,70.3705,31.1107
Boden,39.2,88,99,3.0,SE,1666733842,65.8252,21.6886
Katherine,82.72,74,100,12.66,AU,1666733649,-14.4667,132.2667
Vestmanna,47.32,100,100,8.05,FO,1666733601,62.1564,-7.1664
Ouadda,69.66,54,61,2.91,CF,1666733843,8.0777,22.4007
Nouakchott,76.93,69,100,9.66,MR,1666733844,18.0858,-15.9785
Castlerea,54.95,97,100,14.9,IE,1666733844,53.7667,-8.5
Westport,67.32,89,100,10.36,US,1666733845,41.1415,-73.3579
Djougou,77.67,74,92,6.87,BJ,1666733846,9.7085,1.666
Amberley,73.83,51,75,8.05,US,1666733846,39.2048,-84.428
Brønnøysund,48.2,76,100,10.36,NO,1666733847,65.4625,12.1997
Labuhan,77.79,81,87,11.92,ID,1666733848,-6.8844,112.2051
Ciudad General Terán,77.22,23,6,6.35,MX,1666733848,25.2667,-99.6833
Colares,66.2,96,15,10.0,PT,1666733849,38.7992,-9.4469
Camacha,69.22,83,20,6.91,PT,1666733760,33.0833,-16.3333
Salalah,77.09,61,0,3.44,OM,1666733629,17.0151,54.0924
Plérin,59.31,89,0,6.91,FR,1666733849,48.5425,-2.7798
Novovarshavka,34.23,53,100,6.8,RU,1666733850,54.1721,74.6946
Acarí,69.94,63,6,8.25,PE,1666733615,-15.4311,-74.6158
Gannan,40.59,58,100,15.46,CN,1666733851,47.9147,123.5031
Beloha,71.17,85,100,5.14,MG,1666733375,-25.1667,45.05
Fernandina Beach,73.81,73,0,9.22,US,1666733584,30.6697,-81.4626
Warrnambool,57.72,94,100,9.98,AU,1666733728,-38.3833,142.4833
Cilegon,77.43,89,100,16.82,ID,1666733852,-6.0174,106.0538
Keuruu,36.81,93,100,8.03,FI,1666733852,62.2667,24.7
Northam,58.84,92,100,22.86,GB,1666733607,51.0333,-4.2167
Sungai Penuh,64.24,99,100,1.95,ID,1666733853,-2.0833,101.3833
Zhigansk,1.51,96,89,5.82,RU,1666733727,66.7697,123.3711
Sittwe,74.93,90,66,4.65,MM,1666733466,20.15,92.9
Hearst,53.85,81,100,9.13,CA,1666733162,49.6835,-83.6665
Kyra,19.8,63,0,3.89,RU,1666733854,49.5776,111.9753
Pecos,72.7,13,0,6.91,US,1666733588,31.4229,-103.4932
Omsukchan,3.15,88,11,7.72,RU,1666733734,62.5333,155.8
Mitsamiouli,75.52,79,3,13.04,KM,1666733854,-11.3847,43.2844
Arrondissement de Saint-Denis,61.29,83,0,8.05,FR,1666733855,48.9167,2.3333
Kidal,83.93,20,93,10.09,ML,1666733381,18.4411,1.4078
Ust-Nera,15.1,96,100,9.15,RU,1666733856,64.5667,143.2
Puerto Escondido,86.83,58,40,12.66,MX,1666733856,15.85,-97.0667
Neuquén,80.49,21,0,8.05,AR,1666733701,-38.9516,-68.0591
Brandon,83.17,68,6,3.0,US,1666733711,27.9378,-82.2859
Arawa,83.97,74,91,1.05,PG,1666733857,-6.2132,155.5367
Merritt Island,78.58,56,0,9.22,US,1666733857,28.5392,-80.672
Lithakia,58.37,71,2,1.86,GR,1666733858,37.7167,20.8333
North Branch,48.34,62,25,1.01,US,1666733858,45.5113,-92.9802
Saint-Leu,67.44,74,29,4.05,RE,1666733721,-21.15,55.2833
Nuuk,32.61,100,75,3.44,GL,1666733396,64.1835,-51.7216
Hammond,57.97,96,100,4.61,US,1666733615,41.5834,-87.5
Hirado,60.53,58,2,17.65,JP,1666733859,33.3597,129.5531
Sistranda,48.16,90,100,10.76,NO,1666733477,63.7256,8.834
Meulaboh,76.17,90,100,4.83,ID,1666733556,4.1363,96.1285
Plettenberg Bay,59.49,77,94,3.83,ZA,1666733860,-34.0527,23.3716
Damnoen Saduak,75.94,84,100,5.37,TH,1666733860,13.5182,99.9547
Mayo,60.42,94,100,5.75,US,1666733861,38.8876,-76.5119
Padang,75.27,94,100,2.01,ID,1666733338,-0.9492,100.3543
Xichang,61.14,97,82,2.53,CN,1666733861,27.8964,102.2634
Margate,58.46,86,100,5.01,GB,1666733176,51.3813,1.3862
Pawāyan,64.83,62,0,2.59,IN,1666733862,28.0667,80.1
Imbituba,64.71,83,21,7.38,BR,1666733862,-28.24,-48.6703
Dzilam González,80.94,76,97,7.23,MX,1666733863,21.2833,-88.9333
Sangīn,67.48,22,1,4.68,AF,1666733863,32.0728,64.8359
Curaçá,83.41,53,94,13.73,BR,1666733863,-8.9903,-39.9094
Palu,74.39,94,86,2.84,ID,1666733479,-0.8917,119.8707
Deputatsky,12.02,88,100,8.59,RU,1666733662,69.3,139.9
Teyateyaneng,62.74,35,100,1.34,LS,1666733864,-29.1472,27.7489
Kamyshla,30.45,85,84,7.49,RU,1666733865,54.1169,52.1426
Atlantic City,64.83,93,100,1.99,US,1666733865,39.3643,-74.4229
Alofi,75.09,60,75,11.5,NU,1666733580,-19.0595,-169.9187
Aquin,80.71,72,41,1.61,HT,1666733866,18.2833,-73.4
Mauá,65.7,77,41,8.59,BR,1666733866,-23.6678,-46.4614
Makat,42.31,68,29,15.01,KZ,1666733866,47.6469,53.3463
